,HHID,HH_Size,URBAN,District,State_code,Combined_multiplier
745,713541102,9,0,04,17,127.07
746,713541201,4,0,04,17,169.43
747,713541202,3,0,04,17,169.43
748,713541203,13,0,04,17,169.43
749,713541204,5,0,04,17,169.43
750,713541301,3,0,04,17,1143.64
751,713541302,4,0,04,17,1143.64
752,713511101,7,0,04,17,139.64
753,713511102,9,0,04,17,139.64
754,713511201,4,0,04,17,296.73
755,713511202,7,0,04,17,296.73
756,713511203,5,0,04,17,296.73
757,713511204,5,0,04,17,296.73
758,713511301,8,0,04,17,942.55
759,713511302,4,0,04,17,942.55
760,713521101,6,0,04,17,96.95
761,713521201,7,0,04,17,193.9
